İlçe,Mahalle,Oda Sayısı,Salon Sayısı,Banyo Sayısı,Brüt M2,Kat Sayısı,Bulunduğu Kat,Kat Index,Bina Yaşı,Eşya Durumu,Kullanım Durumu,Doğu,Batı,Kuzey,Güney,Kira
Tepebaşı,Tunalı Mah.,3,1,2,140,3,1,0.3333333333333333,14,0,0,0,0,1,1,15000
Tepebaşı,Zafer Mah.,3,1,1,145,7,7,1.0,7,0,0,1,1,0,0,17000
Tepebaşı,Şirintepe Mah.,2,0,1,60,3,3,1.0,11,1,0,1,1,0,0,12000
Tepebaşı,Çamlıca Mah.,2,1,2,105,3,1,0.3333333333333333,3,0,0,1,1,0,0,16500
Tepebaşı,Batıkent Mah.,3,1,2,145,5,4,0.8,18,0,0,1,0,0,1,23000
Tepebaşı,Şirintepe Mah.,1,1,1,60,3,2,0.6666666666666666,13,0,0,0,0,0,1,8500
Tepebaşı,Şirintepe Mah.,1,1,1,50,4,2,0.5,13,1,0,0,0,0,1,11000
Odunpazarı,Emek Mah.,2,1,1,100,2,2,1.0,25,0,0,0,0,0,0,9000
Odunpazarı,Vişnelik Mah.,2,1,2,95,4,2,0.5,10,0,0,1,1,0,0,26000
Tepebaşı,Şirintepe Mah.,2,1,1,100,4,3,0.75,8,0,0,1,1,0,0,15000
Tepebaşı,Sütlüce Mah.,2,1,1,85,1,1,1.0,35,0,0,1,1,0,0,9500
Tepebaşı,Çamlıca Mah.,3,1,1,140,3,3,1.0,5,0,0,0,0,0,0,15000
Tepebaşı,Kumlubel Mah.,2,0,1,65,3,1,0.3333333333333333,9,0,0,0,0,0,1,11000
Odunpazarı,Alanönü Mah.,2,1,1,130,1,5,5.0,12,0,0,1,1,0,0,17500
Odunpazarı,Vadişehir Mah.,3,1,2,110,4,3,0.75,5,0,0,0,0,0,1,25000
Tepebaşı,Bahçelievler Mah.,1,1,1,70,4,4,1.0,10,1,0,1,1,0,0,13000
Tepebaşı,Batıkent Mah.,3,1,2,160,3,3,1.0,6,0,1,1,1,0,1,32000
Tepebaşı,Şirintepe Mah.,2,1,1,95,3,3,1.0,6,0,0,0,0,1,1,11500
Odunpazarı,Kırmızıtoprak Mah.,2,1,1,100,3,3,1.0,30,0,0,0,0,1,1,8000
Tepebaşı,Kumlubel Mah.,2,1,1,95,4,1,0.25,5,0,0,1,0,0,0,11000
Odunpazarı,Kırmızıtoprak Mah.,1,1,1,60,4,1,0.25,4,1,0,0,0,0,1,16500
Tepebaşı,Eskibağlar Mah.,3,1,1,120,2,3,1.5,12,0,0,0,0,1,1,22000
Odunpazarı,71 Evler Mah.,2,1,1,100,3,1,0.3333333333333333,4,0,0,1,0,0,1,13000
Odunpazarı,İstiklal Mah.,2,1,1,95,3,2,0.6666666666666666,31,1,0,0,0,0,0,16000
Tepebaşı,Batıkent Mah.,3,1,1,135,7,5,0.7142857142857143,24,0,1,1,0,0,1,17500
Tepebaşı,Yeşiltepe Mah.,1,1,1,55,2,0,0.0,8,1,0,1,1,0,0,12000
Tepebaşı,Bahçelievler Mah.,3,1,1,130,4,2,0.5,20,0,0,1,1,0,0,18000
Tepebaşı,Sütlüce Mah.,1,1,1,65,3,3,1.0,5,1,0,1,1,0,0,9500
Tepebaşı,Şirintepe Mah.,1,1,1,50,3,2,0.6666666666666666,17,0,0,0,0,0,1,10500
Tepebaşı,Şeker Mah.,2,1,1,90,3,3,1.0,17,0,0,0,0,1,1,10000
Tepebaşı,Şirintepe Mah.,1,1,1,57,3,1,0.3333333333333333,6,1,0,1,0,0,1,12000
Odunpazarı,Vişnelik Mah.,2,1,1,100,5,2,0.4,28,1,0,0,0,0,1,11000
Odunpazarı,71 Evler Mah.,2,1,1,95,3,1,0.3333333333333333,2,0,1,1,1,0,0,14000
Tepebaşı,Eskibağlar Mah.,1,1,1,55,4,0,0.0,12,0,0,1,0,0,0,12000
Tepebaşı,Şirintepe Mah.,1,1,1,50,4,2,0.5,10,1,0,0,0,0,1,10000
Tepebaşı,Yenibağlar Mah.,1,0,1,15,5,5,1.0,8,1,0,0,0,0,1,6000
Tepebaşı,Batıkent Mah.,3,1,2,175,3,1,0.3333333333333333,5,0,0,0,0,0,0,36000
Tepebaşı,Sütlüce Mah.,2,1,1,110,3,2,0.6666666666666666,5,0,0,1,0,0,1,14000
Odunpazarı,Kurtuluş Mah.,3,1,1,110,8,5,0.625,20,0,0,0,0,1,0,15000
Tepebaşı,Çamlıca Mah.,2,1,1,90,3,2,0.6666666666666666,6,0,0,0,0,1,1,15500
Tepebaşı,Batıkent Mah.,3,1,2,160,3,3,1.0,5,0,0,0,1,0,1,37000
Odunpazarı,Emek Mah.,1,1,1,160,4,4,1.0,15,0,0,0,0,0,1,16000
Odunpazarı,Deliklitaş Mah.,3,1,1,180,5,2,0.4,31,0,0,0,0,0,1,25000
Tepebaşı,Batıkent Mah.,3,1,2,168,5,2,0.4,12,0,0,1,1,1,0,25000
Tepebaşı,Sütlüce Mah.,1,1,1,55,3,1,0.3333333333333333,12,1,0,1,0,0,0,11000
